display  D   display_settings.c:527  _al_score_display_settings       [   0.13611] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.13619] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13631] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.13639] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13651] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.13659] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13672] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.13681] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13693] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.13701] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13712] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.13721] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13732] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13741] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13752] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13761] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13772] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.13781] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13792] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.13800] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13812] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.13820] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13832] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.13840] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13851] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.13860] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13871] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.13880] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13909] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.13918] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13929] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13938] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13949] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13957] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13969] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.13977] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13989] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.13997] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14010] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.14019] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14030] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.14038] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14049] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.14058] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14069] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.14081] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14092] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.14100] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14112] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.14120] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14131] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.14140] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14151] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.14160] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14171] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.14180] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14191] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.14199] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14211] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.14219] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14230] Score is : 714
